Radius (μm),Hc (mT),TRM (A/m),D (°),I (°),Xc (μm),Yc (μm),Zc (μm),mx (Am$^2$),my (Am$^2$),mz (Am$^2$)
0.2743585074788804,103.13378211753235,49233.80137780232,45.0,45.0,251,676,1,2.1294982020960684e-15,2.1294982020960684e-15,3.0115652384533816e-15
0.24812772569537603,117.15988117423666,50420.040449620596,45.0,45.0,525,549,8,1.6131980487468637e-15,1.6131980487468637e-15,2.2814065593316277e-15
0.2249651151784265,114.0744876466122,52016.06710201923,45.0,45.0,546,421,2,1.2403426027301088e-15,1.2403426027301088e-15,1.7541093307700637e-15
0.26223960271314595,85.65907968661107,51627.09399800131,45.0,45.0,414,214,9,1.9499843619259252e-15,1.9499843619259252e-15,2.7576943310510894e-15
0.31694928921224663,100.9894275748003,50513.52464119363,45.0,45.0,877,367,5,3.3684928753017873e-15,3.3684928753017873e-15,4.76376830900893e-15
0.31596501818031686,99.88707558511054,50338.19307250375,45.0,45.0,423,87,9,3.3256247522930117e-15,3.3256247522930117e-15,4.703143628056441e-15
0.25616145325561324,111.06629696568001,47713.269779592876,45.0,45.0,508,809,2,1.6797286455173096e-15,1.6797286455173096e-15,2.3754950315971678e-15
0.2209344067253937,92.11752326308213,52033.24619182152,45.0,45.0,921,612,3,1.1752482135591265e-15,1.1752482135591265e-15,1.662051962770068e-15
0.22616336588790695,101.91291557877578,52983.26720747148,45.0,45.0,813,320,2,1.283701728459653e-15,1.283701728459653e-15,1.815428394429425e-15
0.256661304946957,118.91175059444903,49728.79788397421,45.0,45.0,875,889,2,1.7609530159042776e-15,1.7609530159042776e-15,2.4903636377936336e-15
0.22292460673367478,97.21483988145751,51530.78932140869,45.0,45.0,600,166,6,1.1956372471024452e-15,1.1956372471024452e-15,1.6908864105307097e-15
0.3034713008996151,116.24280808617867,52113.45984391502,45.0,45.0,727,941,1,3.050432363870116e-15,3.050432363870116e-15,4.313962820086937e-15
0.17748358169363576,101.06563098070744,51552.505569890985,45.0,45.0,463,223,7,6.036468582175413e-16,6.036468582175413e-16,8.536855737751558e-16
0.33894985834290636,107.02525647129436,49388.57277286556,45.0,45.0,291,466,3,4.028018532183859e-15,4.028018532183859e-15,5.69647843770458e-15
0.27837563073168703,98.36928842453109,49155.610983312115,45.0,45.0,55,134,4,2.220881335952503e-15,2.220881335952503e-15,3.1408005057253083e-15
0.3169770699376651,104.77014350751982,46348.308470269796,45.0,45.0,192,156,8,3.091548343568494e-15,3.091548343568494e-15,4.372109596206641e-15
0.1396573333171856,100.70448652730757,52189.47686817971,45.0,45.0,188,331,5,2.977369894826959e-16,2.977369894826959e-16,4.2106368854656407e-16
0.3492068173144651,108.66210033926525,46440.80049750068,45.0,45.0,78,485,3,4.141965253166676e-15,4.141965253166676e-15,5.857623435906423e-15
0.24486880938028985,98.86631082440141,49520.871978441086,45.0,45.0,167,267,4,1.5228155596466424e-15,1.5228155596466424e-15,2.1535864174450564e-15
0.23360253899479808,93.29103931342917,52065.37820005524,45.0,45.0,487,690,2,1.3900816721890908e-15,1.3900816721890908e-15,1.965872353616083e-15
0.2525055360606507,85.25775986171092,50692.71700944924,45.0,45.0,79,826,4,1.7092945007938844e-15,1.7092945007938844e-15,2.4173074651124603e-15
0.2742353416270131,92.051540736937,54317.04141093751,45.0,45.0,43,760,4,2.3461997768641897e-15,2.3461997768641897e-15,3.3180275444780664e-15
0.20510021832431846,95.93690715086416,48359.57375310308,45.0,45.0,726,71,1,8.738551416607058e-16,8.738551416607058e-16,1.235817792886032e-15
0.25835067120025434,101.40815532791936,51717.38223723884,45.0,45.0,410,945,9,1.867772300479418e-15,1.867772300479418e-15,2.6414289187627882e-15
0.271549410710465,107.57388347445922,50969.24212305534,45.0,45.0,847,167,1,2.137535733477325e-15,2.137535733477325e-15,3.0229320243407537e-15
0.19447461879097924,104.4611829728859,51376.561425202955,45.0,45.0,43,678,7,7.91429864494445e-16,7.91429864494445e-16,1.119250848035145e-15
0.2810756179053034,89.54920948363753,50115.052283901925,45.0,45.0,785,118,1,2.330753385064142e-15,2.330753385064142e-15,3.2961830477047103e-15
0.22981705718790388,82.4935491038491,46923.1289163961,45.0,45.0,393,758,3,1.1928679089427516e-15,1.1928679089427516e-15,1.6869699749464735e-15
0.3351156705888011,108.21606833441784,49962.65339424017,45.0,45.0,49,154,5,3.9381143119563865e-15,3.9381143119563865e-15,5.569334670144311e-15
0.24694319562403289,102.9876143980917,48307.513051627866,45.0,45.0,289,968,9,1.5235772715666049e-15,1.5235772715666049e-15,2.1546636407728888e-15
0.24449260548369256,95.02533305643055,47603.291723897746,45.0,45.0,84,317,2,1.4571114959497766e-15,1.4571114959497766e-15,2.060666839461923e-15
0.2315962435796518,95.3346611637531,50000.40094903214,45.0,45.0,185,672,1,1.300848239458946e-15,1.300848239458946e-15,1.8396772228320048e-15
0.289605702861644,96.13232281005763,47587.20471247749,45.0,45.0,863,840,6,2.420862580526695e-15,2.420862580526695e-15,3.4236166940223813e-15
0.3316215445441673,95.5436554988498,52784.180918825106,45.0,45.0,314,36,6,4.0317223254882555e-15,4.0317223254882555e-15,5.701716392427885e-15
0.2343643349758215,110.03010185935726,50234.937488983844,45.0,45.0,183,812,5,1.3543753694553708e-15,1.3543753694553708e-15,1.915376016027857e-15
0.3174368695831586,87.22805011897911,46569.967716271254,45.0,45.0,779,106,3,3.1198711171731187e-15,3.1198711171731187e-15,4.412164046762324e-15
0.3321754398695695,97.7219798988041,48767.69580612716,45.0,45.0,677,505,5,3.7436342017902004e-15,3.7436342017902004e-15,5.294298260735477e-15
0.25626449668289214,86.87897341854055,49018.37797986372,45.0,45.0,235,945,6,1.7277578599541726e-15,1.7277578599541726e-15,2.4434185980439054e-15
0.23299540520876208,101.04828142126749,47836.039606293736,45.0,45.0,576,387,1,1.26723132619791e-15,1.26723132619791e-15,1.792135728173128e-15
0.2055315771986019,114.7131441774125,52045.11561888287,45.0,45.0,107,483,1,9.46398963685065e-16,9.46398963685065e-16,1.338410249859261e-15
0.20557394261716933,111.56355460956297,47416.54258543157,45.0,45.0,203,633,6,8.627653460634723e-16,8.627653460634723e-16,1.2201344535484793e-15
0.20406989891412403,87.78978364669922,49402.1637553418,45.0,45.0,100,276,2,8.793088264731876e-16,8.793088264731876e-16,1.2435304679127522e-15
0.29900470843445426,91.36777033410745,50288.75784226405,45.0,45.0,64,576,4,2.8155523312927507e-15,2.8155523312927507e-15,3.981792292485393e-15
0.30158812884371533,115.76024650338324,52287.5152017927,45.0,45.0,145,503,1,3.0039959706777974e-15,3.0039959706777974e-15,4.2482918430466715e-15
0.20846974988050573,112.51120573593842,47750.75340894535,45.0,45.0,599,782,6,9.060829910048088e-16,9.060829910048088e-16,1.2813948545145796e-15
0.18681971313251564,102.18592458593133,45452.108463355224,45.0,45.0,671,412,6,6.20698578277098e-16,6.20698578277098e-16,8.778003475451701e-16
0.3616362814737065,97.92458665818086,51174.15211804968,45.0,45.0,449,516,2,5.069034584314726e-15,5.069034584314726e-15,7.168697457276149e-15
0.23108666931388852,102.46260786043106,50543.73139529377,45.0,45.0,145,784,6,1.3063230603502242e-15,1.3063230603502242e-15,1.847419788788014e-15
0.3661324075803575,99.0431302043718,51336.629710415844,45.0,45.0,141,765,7,5.27716266690092e-15,5.27716266690092e-15,7.463035014380251e-15
0.15629909192732377,93.99198126723346,47488.93947557839,45.0,45.0,103,787,8,3.7976982038940885e-16,3.7976982038940885e-16,5.370756305746964e-16
0.5560416501270018,29.585899300569924,53059.75668420153,150.0,15.0,346,900,6,-3.1963199368765906e-14,1.8453961759718666e-14,9.889448301342874e-15
0.442706624893068,19.764259322725874,50030.1415450031,150.0,15.0,378,487,8,-1.521047630214727e-14,8.78177258754715e-15,4.7061377458940595e-15
0.3921089450933576,16.02338374577865,53725.499736213074,150.0,15.0,854,282,1,-1.1349160361868919e-14,6.55244079000125e-15,3.5114424362671655e-15
0.3728980628381674,17.154181542906564,52851.674896257646,150.0,15.0,226,693,1,-9.602673346492244e-15,5.544106041537341e-15,2.971077473164878e-15
0.3818767192207986,15.386914013593955,47228.44949998496,150.0,15.0,150,775,7,-9.215868208795315e-15,5.320783991164087e-15,2.8513995470657264e-15
0.32352541808512847,38.37343442071746,51996.649426385084,150.0,15.0,290,519,3,-6.169693645353295e-15,3.562074286962247e-15,1.908909857142403e-15
0.44016599281489177,33.857636601887954,49172.438664430854,150.0,15.0,202,326,1,-1.469380338264618e-14,8.483471338390203e-15,4.546278588268461e-15
0.3220936186005847,19.33110528625624,50729.62597599662,150.0,15.0,835,895,6,-5.939789319187133e-15,3.4293389623623544e-15,1.8377772110751545e-15
0.38268167785245044,25.1091015365487,50097.09025600709,150.0,15.0,407,663,3,-9.837585712620783e-15,5.679732759357624e-15,3.0437596121889352e-15
0.40015605642224206,30.17792461203271,51935.5095241567,150.0,15.0,942,924,7,-1.1660457731387077e-14,6.73216841009058e-15,3.607758177588173e-15
0.40703866966674457,27.454614820659604,49092.96765676659,150.0,15.0,799,910,5,-1.1600836758306488e-14,6.6977462252331545e-15,3.589311384319649e-15
0.4713442562944859,22.607682216576542,47593.5830278522,150.0,15.0,228,96,8,-1.746329048617853e-14,1.0082435463131801e-14,5.403160880170158e-15
0.38061815623081297,29.32929696381214,49491.9235856407,150.0,15.0,76,357,7,-9.5623768752368e-15,5.520840863010617e-15,2.958609701568875e-15
0.42362401408771555,29.655909414305775,50729.6005678573,150.0,15.0,783,753,9,-1.351344801256304e-14,7.801992847733284e-15,4.1810753658070565e-15
0.3752217596595259,16.74628486666539,51440.54275409287,150.0,15.0,639,210,2,-9.522097164655759e-15,5.497585361263774e-15,2.9461471157435804e-15
0.43119020115459855,28.860949969143938,50201.91159436818,150.0,15.0,922,236,3,-1.410229912775583e-14,8.141966197602451e-15,4.363266534898151e-15
0.42119449791957003,38.921748996432534,49708.679313156055,150.0,15.0,356,758,4,-1.3014974209821975e-14,7.514198863536753e-15,4.026847034503067e-15
0.4694972305421138,25.21026411928036,50097.31217349426,150.0,15.0,506,203,6,-1.816672111454606e-14,1.0488561325776024e-14,5.620803074011983e-15
0.45146982020848525,23.759599057192005,48674.970041210756,150.0,15.0,318,885,1,-1.5694767404992594e-14,9.061378186141035e-15,4.8559779345789645e-15
0.46404579864156115,32.594937536960124,49170.90345097913,150.0,15.0,967,483,7,-1.7216851839626446e-14,9.940154044206229e-15,5.326912497572035e-15
0.3514904530422276,4.119881467866136,53062.44413670965,150.0,15.0,241,623,6,-8.074039503560106e-15,4.6615488808280984e-15,2.498116516192186e-15
0.4445625482560355,20.463197193036503,46014.62509390985,150.0,15.0,392,396,8,-1.4166335619250066e-14,8.178937683204607e-15,4.3830794943183046e-15
0.32161556031568544,43.48346502637139,47269.63236120356,150.0,15.0,313,35,8,-5.5100609289237556e-15,3.181235160565369e-15,1.7048187844139672e-15
0.34164590877766027,46.64903748895956,48352.040336040765,150.0,15.0,345,767,3,-6.756262226915023e-15,3.900729815425088e-15,2.0903948078703094e-15
0.40298404454916376,11.903898765023053,51573.55356329142,150.0,15.0,129,708,1,-1.1826429023252471e-14,6.827991980126816e-15,3.659109874002326e-15
