Dec (°),Inc (°),Mag (A/m),Radii (µm),Xc (µm),Yc (µm),Zc (µm)
48.52981989508033,57.99476290930593,28820.26172983832,0.8528104691935328,1222.0,897.0,6.0
42.3530387848473,40.105948690799394,22000.786041836116,0.5800314416734447,557.0,236.0,12.0
64.44616949606224,40.774625981892356,24893.689920528697,0.6957475968211477,523.0,1754.9999999999998,13.0
42.983262963175385,36.416251022750636,31204.46599600729,0.9481786398402915,329.0,1028.0,9.0
45.876878732625464,51.92326103459743,29337.789950749837,0.8735115980299935,496.0,1171.9999999999998,10.0
57.65984893649251,26.58769042495774,15113.610600617945,0.3045444240247178,1129.0,1454.0,12.0
37.72614076115006,58.95849411373184,24750.442087627947,0.6900176835051178,390.0,103.0,6.0
40.266906736557694,38.910344792839176,19243.21395851151,0.46972855834046034,1317.0,1062.0,16.0
46.500825806696284,47.55231276845679,19483.90574103221,0.4793562296412884,704.0,770.0,1.0
42.361040337765125,43.00503699618072,22052.992509691863,0.5821197003876745,463.0,1797.0,17.0
35.45788310062555,56.696863496359796,20720.21785580439,0.5288087142321756,637.0,441.0,2.0
43.360987915299305,28.518874324018768,27271.367534814875,0.7908547013925951,616.9999999999999,654.0,13.0
42.12936842399006,42.42066236789194,23805.18862573497,0.6522075450293986,754.9999999999999,700.0,8.0
49.827772820875964,41.92756516265268,20608.375082464143,0.5243350032985656,1101.0,1774.0,14.0
31.681691764226443,54.0701555386835,22219.31616372713,0.588772646549085,861.0,1573.0,7.0
39.39856769848039,36.20086986148775,21668.371636871336,0.5667348654748534,1341.0,234.0,18.999999999999996
54.21112807589736,43.620574339596516,27470.39536578803,0.7988158146315212,759.9999999999999,1964.9999999999998,6.0
59.858648057850495,37.977132656629024,18974.208681170996,0.4589683472468398,434.0,1166.9999999999998,18.999999999999996
32.91056353849307,45.33770997372474,21565.338508254506,0.5626135403301802,154.0,1491.0,12.0
50.158780087142226,49.662521709726576,15729.521303491376,0.32918085213965503,834.9999999999999,1134.0,11.0
37.155136918251024,36.19504658229663,7235.050920829606,0.010597963166815716,709.0,56.99999999999999,14.999999999999998
38.14517476227128,54.15778967871691,23268.092977201803,0.6307237190880721,1249.0,1098.0,18.999999999999996
38.024966533954775,52.212725764742366,24322.18099429753,0.672887239771901,1156.0,235.0,5.0
41.619936566700844,49.01995471121494,16289.17489796779,0.3515669959187116,802.0,1769.0,10.0
52.9715186153069,52.206847594115295,31348.773119938036,0.9539509247975215,968.0,1119.0,18.0
50.699370167012546,39.53017712660534,12728.171627006177,0.209126865080247,905.0,1485.0,1.0
45.47315394575232,44.016878195850815,20228.792586507232,0.5091517034602892,80.99999999999999,1596.0,14.0
42.09351297214466,37.51384452592745,19064.08074987083,0.46256322999483324,388.99999999999994,1140.0,10.0
45.026310743472884,42.85689536299187,27663.89607179229,0.8065558428716914,922.0,1691.0,10.0
44.15255646354061,49.24284373390549,27346.793849501424,0.7938717539800569,285.0,176.0,8.0
51.34442655569576,39.466713986197526,20774.737128484583,0.5309894851393833,1142.0,1308.0,2.0
39.94742696166227,41.825971785152184,21890.812598010867,0.5756325039204347,1356.0,407.0,1.0
44.950440732113925,39.50261839904321,15561.071261849436,0.3224428504739774,1264.9999999999998,1702.9999999999998,18.0
44.19145910552604,38.23835486801024,10096.017658880366,0.10384070635521458,150.99999999999997,1416.0,9.0
44.58153479318513,39.63003095330545,18260.439253369237,0.43041757013476944,61.0,70.99999999999999,14.0
46.99374126851926,44.89868320864879,20781.7448455199,0.531269793820796,479.99999999999994,1500.0,16.0
46.58128072833999,36.06151721091778,26151.453403638603,0.7460581361455441,1292.0,1950.9999999999998,11.0
55.67878859393265,46.87532558253674,26011.899243922056,0.7404759697568822,1001.9999999999999,239.99999999999997,9.0
44.30499514977892,58.278417416878966,18063.36591296024,0.4225346365184095,1104.0,133.0,8.0
57.492258347591125,50.93635328461868,18488.48624712332,0.4395394498849328,161.99999999999997,1197.9999999999998,4.0
42.55317583066695,43.46531558110708,14757.235174664536,0.2902894069865814,759.9999999999999,1003.9999999999999,7.0
41.1781486617743,37.89896828732131,12899.910314105124,0.21599641256420493,1261.0,35.0,18.0
45.80590551002282,39.0227336499933,11468.649046874936,0.15874596187499745,972.0,1880.0,4.0
47.843507778794816,58.53963680822197,29753.87697615895,0.8901550790463578,678.0,798.0,5.0
47.156899251573606,45.40646203820823,17451.739091241732,0.3980695636496693,464.0,930.0,18.0
55.335707067103705,39.90403482744517,17809.62849194407,0.4123851396777627,536.0,1164.0,12.0
54.11474383060227,46.527323877339725,13736.023199750369,0.24944092799001477,1325.0,705.9999999999999,13.0
48.955523184968705,61.80204109183074,23887.45177915955,0.655498071166382,421.99999999999994,1927.0,17.0
42.309309926907574,45.961271619853036,11930.510762210242,0.17722043048840969,789.0,1745.0,14.0
44.19508522954313,49.93762487765935,18936.298598930156,0.45745194395720623,948.0,569.0,10.0
56.30718414337427,47.40136255964662,15522.667194031623,0.32090668776126485,790.0,829.0,18.999999999999996
46.770032982808,42.18200122805185,21934.51248929631,0.5773804995718524,536.0,799.9999999999999,16.0
34.513814932962035,35.85985441582288,17445.974312155635,0.3978389724862254,396.0,354.0,1.0
39.483478143614555,42.20525822069698,14096.83907938794,0.2638735631755176,504.0,323.99999999999994,5.0
40.379894134148735,43.328846133001775,19859.088858306724,0.49436355433226903,475.99999999999994,1158.9999999999998,16.0
54.2176381630054,49.69298552945758,22141.65935265209,0.5856663741060836,1137.0,177.0,3.0
44.14268812140682,51.71186731099604,20332.58611191584,0.5133034444766336,126.0,303.99999999999994,8.0
63.080854189762164,52.448816650428455,21512.35948869891,0.5604943795479562,830.0,910.9999999999999,9.0
50.25295576208342,47.28469860203407,16828.38953159518,0.3731355812638073,933.9999999999999,274.99999999999994,10.0
45.99845460264156,52.08112931416582,18186.29417006431,0.42745176680257235,1192.0,1189.0,4.0
41.51436864777208,38.964816472026776,16637.697761120246,0.36550791044480974,838.0,897.9999999999999,8.0
52.77743447743338,55.0229452418663,18202.234192297292,0.42808936769189176,64.0,394.0,5.0
43.07431086188745,49.10343856334407,15934.26858977773,0.3373707435911092,788.0,1674.9999999999998,6.0
38.40701237266303,42.615257319178276,11368.586988341616,0.15474347953366463,868.0,1723.9999999999998,7.0
